,seed,nsim,ntaxa,lambda,mu,nu,M,Y,d_0,model,ngt,ngenes,rho,q,q10,q11,q12,q2,q3,A,A1,A2,B,C,C1,C2,D0good,D0anom,D0ambi,D1good,D1anom,D1ambi,D2good,D2anom,D2ambi,D0g_ex,D0a_ex,D1g_ex,D1a_ex,D2g_ex,D2a_ex,time
42,9362,800,8,0.3,0.27,0.15,0.25,0.25,0.666666666666667,1,300,299.957142857143,0,56000,49921,4454,941,676,8,1617,941,676,1617,222,9,213,53403,0,972,897,0,44,48,0,628,54375,0,941,0,676,0,424.656
43,9363,800,4,1,0.9,0.5,0.25,0.25,0.2,1,300,300,0,800,733,43,6,18,0,24,6,18,24,6,0,6,618,0,158,6,0,0,0,0,18,776,0,6,0,18,0,83.052
44,9364,800,6,1,0.9,0.5,0.25,0.25,0.2,1,300,299.7,0,12000,10913,723,178,174,12,352,178,174,352,109,10,99,10440,1,1195,144,0,34,2,2,170,11636,0,176,2,174,0,153.291
45,9365,800,8,1,0.9,0.5,0.25,0.25,0.2,1,300,299.683928571429,0,56000,49534,4619,1227,561,59,1788,1227,561,1788,272,2,270,50711,5,3437,1112,0,115,6,1,554,54153,0,1227,0,556,5,417.62
46,9366,800,4,3,2.7,1.5,0.25,0.25,0.0666666666666667,1,300,300,0,800,715,55,13,17,0,30,13,17,30,8,0,8,461,0,309,7,0,6,0,0,17,770,0,13,0,17,0,76.564
47,9367,800,6,3,2.7,1.5,0.25,0.25,0.0666666666666667,1,300,300,0,12000,10822,771,227,180,0,407,227,180,407,106,14,92,8488,2,3103,130,0,97,0,3,177,11593,0,226,1,177,3,146.505
48,9368,800,8,3,2.7,1.5,0.25,0.25,0.0666666666666667,1,300,299.951785714286,0,56000,50407,4129,938,517,9,1455,938,517,1455,347,52,295,42760,48,11728,665,8,265,0,5,512,54536,0,938,0,516,1,426.311
49,9369,800,4,0.1,0.01,0.05,0.5,0.25,6,1,300,298.875,0,800,639,61,28,69,3,97,28,69,97,4,0,4,690,0,10,28,0,0,47,0,22,700,0,28,0,68,1,82.661
50,9370,800,6,0.1,0.01,0.05,0.5,0.25,6,1,300,298.025,0,12000,8900,1680,433,908,79,1341,433,908,1341,68,0,68,10432,0,148,431,0,2,597,0,311,10580,0,433,0,908,0,156.915
51,9371,800,8,0.1,0.01,0.05,0.5,0.25,6,1,300,297.160714285714,0,56000,37943,9888,3031,4608,530,7639,3031,4608,7639,355,15,340,47503,0,328,2996,8,27,2919,4,1685,47831,0,3012,19,4591,17,427.066
52,9372,800,4,0.3,0.03,0.15,0.5,0.25,2,1,300,298.875,0,800,624,62,30,81,3,111,30,81,111,19,1,18,661,0,25,28,0,2,22,0,59,686,0,30,0,81,0,82.704
53,9373,800,6,0.3,0.03,0.15,0.5,0.25,2,1,300,298.375,0,12000,8745,1608,574,1008,65,1582,574,1008,1582,210,20,190,10051,0,302,531,4,39,321,0,687,10353,0,553,21,999,9,161.822
54,9374,800,8,0.3,0.03,0.15,0.5,0.25,2,1,300,297.316071428571,0,56000,38257,9714,2769,4759,501,7528,2769,4759,7528,862,12,850,46888,7,1076,2705,2,62,1520,4,3235,47971,0,2757,12,4737,22,427.763
55,9375,800,4,1,0.1,0.5,0.5,0.25,0.6,1,300,298.5,0,800,639,63,26,68,4,94,26,68,94,30,3,27,617,0,85,19,0,7,2,1,65,702,0,23,3,67,1,77.011
56,9376,800,6,1,0.1,0.5,0.5,0.25,0.6,1,300,298.225,0,12000,8653,1731,542,1003,71,1545,542,1003,1545,349,20,329,9443,3,938,475,0,67,45,3,955,10384,0,531,11,993,10,159.915
57,9377,800,8,1,0.1,0.5,0.5,0.25,0.6,1,300,297.364285714286,0,56000,38290,9573,3047,4598,492,7645,3047,4598,7645,1697,110,1587,44197,11,3655,2636,28,383,309,34,4255,47863,0,2968,79,4507,91,477.224
58,9378,800,4,3,0.3,1.5,0.5,0.25,0.2,1,300,298.875,0,800,628,67,26,76,3,102,26,76,102,37,4,33,435,1,259,14,0,12,0,1,75,695,0,24,2,75,1,88.364
59,9379,800,6,3,0.3,1.5,0.5,0.25,0.2,1,300,298.775,0,12000,8711,1642,642,956,49,1598,642,956,1598,532,67,465,7714,18,2621,363,0,279,10,3,943,10353,0,626,16,946,10,155.328
60,9380,800,8,3,0.3,1.5,0.5,0.25,0.2,1,300,297.385714285714,0,56000,38585,9589,2895,4443,488,7338,2895,4443,7338,2483,107,2376,36464,20,11690,1960,6,929,44,44,4355,48174,0,2842,53,4425,18,435.285
61,9381,800,4,0.1,0.09,0.05,0.5,0.25,6,1,300,298.875,0,800,625,69,19,84,3,103,19,84,103,8,1,7,683,0,11,18,0,1,61,0,23,694,0,18,1,84,0,80.954
62,9382,800,6,0.1,0.09,0.05,0.5,0.25,6,1,300,297.25,0,12000,7988,2042,617,1243,110,1860,617,1243,1860,123,4,119,9911,0,119,597,1,19,726,2,515,10030,0,616,1,1237,6,154.782
63,9383,800,8,0.1,0.09,0.05,0.5,0.25,6,1,300,295.778571428571,0,56000,34836,11635,4054,4687,788,8741,4054,4687,8741,345,15,330,46195,0,276,4011,4,39,3078,0,1609,46471,0,4044,10,4680,7,467.597
64,9384,800,4,0.3,0.27,0.15,0.5,0.25,2,1,300,298.875,0,800,606,68,28,95,3,123,28,95,123,17,1,16,627,0,47,27,0,1,30,0,65,674,0,28,0,94,1,93.784
65,9385,800,6,0.3,0.27,0.15,0.5,0.25,2,1,300,297.575,0,12000,7662,2114,765,1362,97,2127,765,1362,2127,226,7,219,9450,2,324,741,2,22,461,10,891,9776,0,753,12,1355,7,143.457
66,9386,800,8,0.3,0.27,0.15,0.5,0.25,2,1,300,296.051785714286,0,56000,35655,11227,3834,4547,737,8381,3834,4547,8381,1052,50,1002,45907,6,969,3729,8,97,1269,1,3277,46882,0,3803,31,4503,44,426.25
67,9387,800,4,1,0.9,0.5,0.5,0.25,0.6,1,300,298.125,0,800,599,79,31,86,5,117,31,86,117,26,1,25,553,1,124,26,0,5,2,0,84,678,0,30,1,85,1,53.345
68,9388,800,6,1,0.9,0.5,0.5,0.25,0.6,1,300,297.125,0,12000,7897,2134,601,1253,115,1854,601,1253,1854,462,19,443,9116,0,915,521,1,79,64,4,1185,10031,0,587,14,1242,11,140.87
69,9389,800,8,1,0.9,0.5,0.5,0.25,0.6,1,300,296.480357142857,0,56000,35351,11689,3738,4565,657,8303,3738,4565,8303,1594,82,1512,43894,4,3142,3409,11,318,285,19,4261,47040,0,3695,43,4527,38,422.592
70,9390,800,4,3,2.7,1.5,0.5,0.25,0.2,1,300,299.625,0,800,609,80,39,71,1,110,39,71,110,42,4,38,429,0,260,19,0,20,0,0,71,689,0,37,2,70,1,51.42
