"","seed","nsim","ntaxa","lambda","mu","nu","M","Y","d_0","model","ngt","q","q10","q11","q12","q2","q3","A","A1","A2","B","C","C1","C2","D"
"41",9361,200,6,0.3,0.27,0.15,0.25,0.25,0.666666666666667,1,200,3000,2639,245,62,48,6,110,62,48,110,12,2,10,0
"42",9362,200,8,0.3,0.27,0.15,0.25,0.25,0.666666666666667,1,200,14000,12596,1055,190,159,0,349,190,159,349,59,5,54,0
"43",9363,200,4,1,0.9,0.5,0.25,0.25,0.2,1,200,200,178,14,3,5,0,8,3,5,8,4,0,4,0
"44",9364,200,6,1,0.9,0.5,0.25,0.25,0.2,1,200,3000,2646,231,43,80,0,123,43,80,123,48,0,48,0
"45",9365,200,8,1,0.9,0.5,0.25,0.25,0.2,1,200,14000,12507,1119,211,163,0,374,211,163,374,95,2,93,0
"46",9366,200,4,3,2.7,1.5,0.25,0.25,0.0666666666666667,1,200,200,185,9,4,2,0,6,4,2,6,4,3,1,0
"47",9367,200,6,3,2.7,1.5,0.25,0.25,0.0666666666666667,1,200,3000,2667,246,51,36,0,87,51,36,87,23,2,21,0
"48",9368,200,8,3,2.7,1.5,0.25,0.25,0.0666666666666667,1,200,14000,12236,1247,327,182,8,509,327,182,509,170,29,141,0
"49",9369,200,4,0.1,0.01,0.05,0.5,0.25,6,1,200,200,159,15,6,19,1,25,6,19,25,5,0,5,0
"50",9370,200,6,0.1,0.01,0.05,0.5,0.25,6,1,200,3000,2257,416,100,214,13,314,100,214,314,23,2,21,0
"51",9371,200,8,0.1,0.01,0.05,0.5,0.25,6,1,200,14000,10003,2170,535,1193,99,1728,535,1193,1728,102,10,92,0
"52",9372,200,4,0.3,0.03,0.15,0.5,0.25,2,1,200,200,148,21,13,18,0,31,13,18,31,2,0,2,0
"53",9373,200,6,0.3,0.03,0.15,0.5,0.25,2,1,200,3000,2225,410,124,228,13,352,124,228,352,52,5,47,0
"54",9374,200,8,0.3,0.03,0.15,0.5,0.25,2,1,200,14000,9996,2380,579,963,82,1542,579,963,1542,222,9,213,0
"55",9375,200,4,1,0.1,0.5,0.5,0.25,0.6,1,200,200,152,20,5,23,0,28,5,23,28,10,2,8,0
"56",9376,200,6,1,0.1,0.5,0.5,0.25,0.6,1,200,3000,2317,363,98,207,15,305,98,207,305,88,8,80,0
"57",9377,200,8,1,0.1,0.5,0.5,0.25,0.6,1,200,14000,9548,2537,638,1131,146,1769,638,1131,1769,478,23,455,0
"58",9378,200,4,3,0.3,1.5,0.5,0.25,0.2,1,200,200,162,17,8,13,0,21,8,13,21,5,1,4,0
"59",9379,200,6,3,0.3,1.5,0.5,0.25,0.2,1,200,3000,2126,454,129,283,8,412,129,283,412,163,15,148,0
"60",9380,200,8,3,0.3,1.5,0.5,0.25,0.2,1,200,14000,9586,2428,681,1183,122,1864,681,1183,1864,761,85,676,0
"61",9381,200,4,0.1,0.09,0.05,0.5,0.25,6,1,200,200,147,24,8,21,0,29,8,21,29,2,0,2,0
"62",9382,200,6,0.1,0.09,0.05,0.5,0.25,6,1,200,3000,2006,466,202,316,10,518,202,316,518,47,3,44,0
"63",9383,200,8,0.1,0.09,0.05,0.5,0.25,6,1,200,14000,8608,3162,874,1215,141,2089,874,1215,2089,94,6,88,0
"64",9384,200,4,0.3,0.27,0.15,0.5,0.25,2,1,200,200,144,16,8,29,3,37,8,29,37,6,0,6,0
"65",9385,200,6,0.3,0.27,0.15,0.5,0.25,2,1,200,3000,1926,515,176,339,44,515,176,339,515,54,5,49,0
"66",9386,200,8,0.3,0.27,0.15,0.5,0.25,2,1,200,14000,8715,3154,892,1126,113,2018,892,1126,2018,257,20,237,0
"67",9387,200,4,1,0.9,0.5,0.5,0.25,0.6,1,200,200,137,21,10,31,1,41,10,31,41,13,0,13,0
"68",9388,200,6,1,0.9,0.5,0.5,0.25,0.6,1,200,3000,1968,504,234,268,26,502,234,268,502,126,14,112,0
"69",9389,200,8,1,0.9,0.5,0.5,0.25,0.6,1,200,14000,8530,3015,899,1387,169,2286,899,1387,2286,609,55,554,0
"70",9390,200,4,3,2.7,1.5,0.5,0.25,0.2,1,200,200,154,23,6,17,0,23,6,17,23,6,0,6,0
"71",9391,200,6,3,2.7,1.5,0.5,0.25,0.2,1,200,3000,1885,513,258,326,18,584,258,326,584,201,20,181,0
"72",9392,200,8,3,2.7,1.5,0.5,0.25,0.2,1,200,14000,8999,2977,937,957,130,1894,937,957,1894,574,65,509,0
"73",9393,200,4,0.1,0.01,0.05,0.25,0.25,6,1,200,200,160,16,4,18,2,22,4,18,22,4,0,4,0
"74",9394,200,6,0.1,0.01,0.05,0.25,0.25,6,1,200,3000,2241,445,120,187,7,307,120,187,307,20,0,20,0
"75",9395,200,8,0.1,0.01,0.05,0.25,0.25,6,1,200,14000,9421,2883,742,898,56,1640,742,898,1640,87,0,87,0
"76",9396,200,4,0.3,0.03,0.15,0.25,0.25,2,1,200,200,167,16,6,11,0,17,6,11,17,1,0,1,0
"77",9397,200,6,0.3,0.03,0.15,0.25,0.25,2,1,200,3000,2215,456,130,195,4,325,130,195,325,61,7,54,0
"78",9398,200,8,0.3,0.03,0.15,0.25,0.25,2,1,200,14000,9522,2690,852,878,58,1730,852,878,1730,136,0,136,0
"79",9399,200,4,1,0.1,0.5,0.25,0.25,0.6,1,200,200,158,28,5,9,0,14,5,9,14,6,1,5,0
"80",9400,200,6,1,0.1,0.5,0.25,0.25,0.6,1,200,3000,2243,429,174,137,17,311,174,137,311,75,5,70,0
